


     Team Name           Mascot    Home City            Wins    Losses


     Seahawks            Blitz     Seattle                91         1
     49ers               49        SanFrancisco            0         2
     Cowboys             John      Dallas                  1         1
     Browns              Chomps    Cleveland              90         2
     Ravens              Poe       Baltimore               2        20





     Team Name           Mascot    Home City            Wins    Losses


     49ers               49        SanFrancisco            0         2
     Browns              Chomps    Cleveland              90         2
     Cowboys             John      Dallas                  1         1
     Ravens              Poe       Baltimore               2        20
     Seahawks            Blitz     Seattle                91         1





     Team Name           Mascot    Home City            Wins    Losses


     49ers               49        SanFrancisco            0         2
     Seahawks            Blitz     Seattle                91         1
     Browns              Chomps    Cleveland              90         2
     Cowboys             John      Dallas                  1         1
     Ravens              Poe       Baltimore               2        20





     Team Name           Mascot    Home City            Wins    Losses


     Seahawks            Blitz     Seattle                91         1
     Browns              Chomps    Cleveland              90         2
     Ravens              Poe       Baltimore               2        20
     Cowboys             John      Dallas                  1         1
     49ers               49        SanFrancisco            0         2


